w0,w1,w2,w3,a0,a1,a2,a3,direction
200.0,190.0,200.0,210.0,0,3.0,98.0,0,1
210.0,190.0,190.0,210.0,0,3.0,88.0,0,2
220.0,190.0,180.0,210.0,0,3.0,78.0,0,2
230.0,190.0,170.0,210.0,0,3.0,68.0,0,2
240.0,190.0,160.0,210.0,0,3.0,58.0,0,2
250.0,190.0,150.0,210.0,0,3.0,48.0,0,2
260.0,190.0,140.0,210.0,0,3.0,38.0,0,2
270.0,190.0,130.0,210.0,0,3.0,28.0,0,2
280.0,190.0,120.0,210.0,0,3.0,18.0,0,2
290.0,190.0,110.0,210.0,68.0,0,0,34.0,2
200.0,210.0,200.0,190.0,0,6.0,97.0,0,3
210.0,210.0,190.0,190.0,0,6.0,87.0,0,2
220.0,210.0,180.0,190.0,0,6.0,77.0,0,2
230.0,210.0,170.0,190.0,0,6.0,67.0,0,2
240.0,210.0,160.0,190.0,0,6.0,57.0,0,2
250.0,210.0,150.0,190.0,0,6.0,47.0,0,2
260.0,210.0,140.0,190.0,0,6.0,37.0,0,2
270.0,210.0,130.0,190.0,0,6.0,27.0,0,2
280.0,210.0,120.0,190.0,0,6.0,17.0,0,2
290.0,210.0,110.0,190.0,36.0,148.0,0,0,2
290.0,220.0,110.0,180.0,36.0,138.0,0,0,3
290.0,230.0,110.0,170.0,36.0,128.0,0,0,3
290.0,240.0,110.0,160.0,36.0,118.0,0,0,3
290.0,250.0,110.0,150.0,36.0,108.0,0,0,3
290.0,260.0,110.0,140.0,36.0,98.0,0,0,3
290.0,270.0,110.0,130.0,36.0,88.0,0,0,3
290.0,280.0,110.0,120.0,36.0,78.0,0,0,3
290.0,290.0,110.0,110.0,36.0,68.0,0,0,3
290.0,300.0,110.0,100.0,36.0,58.0,0,0,3
290.0,310.0,110.0,90.0,36.0,48.0,0,0,3
290.0,320.0,110.0,80.0,36.0,38.0,0,0,3
290.0,330.0,110.0,70.0,36.0,28.0,0,0,3
